GRILLE 7 7 0 0
BIOMES
0 0 VALLEE
0 1 VALLEE
0 2 VALLEE
0 3 MONTAGNE
0 4 FORET
0 5 FORET
0 6 CLAIRIERE
1 0 VALLEE
1 1 VALLEE
1 2 VALLEE
1 3 MONTAGNE
1 4 FORET
1 5 FORET
1 6 CLAIRIERE
2 0 VALLEE
2 1 VALLEE
2 2 VALLEE
2 3 MONTAGNE
2 4 DUNE
2 5 DUNE
2 6 DUNE
3 0 MONTAGNE
3 1 MONTAGNE
3 2 MONTAGNE
3 3 MONTAGNE
3 4 DUNE
3 5 DUNE
3 6 DUNE
4 0 MONTAGNE
4 1 MONTAGNE
4 2 MONTAGNE
4 3 MONTAGNE
4 4 INDUSTRIEL
4 5 INDUSTRIEL
4 6 INDUSTRIEL
5 0 MARAIS
5 1 MARAIS
5 2 MARAIS
5 3 MONTAGNE
5 4 INDUSTRIEL
5 5 INDUSTRIEL
5 6 INDUSTRIEL
6 0 MARAIS
6 1 MARAIS
6 2 MARAIS
6 3 MONTAGNE
6 4 INDUSTRIEL
6 5 INDUSTRIEL
6 6 INDUSTRIEL
BALISES
0 1 1 VALLEE NORMALE
0 3 2 MONTAGNE NORMALE
0 6 2 CLAIRIERE NORMALE
1 0 1 VALLEE NORMALE
1 5 1 FORET NORMALE
2 2 2 VALLEE DEPART Vert
2 4 2 DUNE DEPART Bleu
3 6 1 DUNE NORMALE
4 1 2 MONTAGNE NORMALE
4 4 1 INDUSTRIEL NORMALE
5 3 1 MONTAGNE NORMALE
6 1 2 MARAIS NORMALE
6 2 1 MARAIS NORMALE
6 5 1 INDUSTRIEL NORMALE
LIAISONS
0,1 : 0,3 4,1 1,0
0,3 : 0,1 0,6 3,6 5,3
0,6 : 0,3 3,6 1,5
1,0 : 0,1 1,5 6,5
1,5 : 0,6 1,0 6,5 2,4
2,2 : 2,4 4,4 6,2
2,4 : 1,5 2,2 4,4
3,6 : 0,3 0,6
4,1 : 0,1 4,4 6,1
4,4 : 2,2 2,4 4,1 5,3
5,3 : 0,3 4,4 6,2
6,1 : 4,1 6,2
6,2 : 2,2 5,3 6,1 6,5
6,5 : 1,0 1,5 6,2
