GRILLE 7 7 0 0
BIOMES
0 0 FORET
0 1 FORET
0 2 FORET
0 3 FORET
0 4 FORET
0 5 FORET
0 6 FORET
1 0 FORET
1 1 FORET
1 2 FORET
1 3 FORET
1 4 FORET
1 5 URBAIN
1 6 FORET
2 0 FORET
2 1 MONTAGNE
2 2 FORET
2 3 FORET
2 4 FORET
2 5 FORET
2 6 FORET
3 0 FORET
3 1 FORET
3 2 FORET
3 3 FORET
3 4 URBAIN
3 5 FORET
3 6 FORET
4 0 MONTAGNE
4 1 FORET
4 2 FORET
4 3 FORET
4 4 FORET
4 5 FORET
4 6 FORET
5 0 MONTAGNE
5 1 FORET
5 2 FORET
5 3 FORET
5 4 URBAIN
5 5 URBAIN
5 6 FORET
6 0 FORET
6 1 FORET
6 2 FORET
6 3 FORET
6 4 FORET
6 5 FORET
6 6 FORET
BALISES
0 2 1 FORET NORMALE
0 4 1 FORET NORMALE
1 0 3 FORET NORMALE
1 2 8 FORET DEPART Rouge
1 4 10 FORET DEPART Rouge
2 3 8 FORET DEPART Rouge
2 6 5 FORET NORMALE
3 2 8 FORET DEPART Rouge
3 5 7 FORET DEPART Rouge
4 1 4 FORET NORMALE
4 5 1 FORET NORMALE
4 6 2 FORET NORMALE
5 6 2 FORET NORMALE
6 3 4 FORET NORMALE
LIAISONS
0,2 : 0,4 3,5 1,2
0,4 : 0,2 2,6 1,4
1,0 : 1,2 3,2
1,2 : 0,2 1,0 1,4 2,3 3,2
1,4 : 0,4 1,2 2,3
2,3 : 1,2 1,4 2,6 4,5 6,3 3,2
2,6 : 0,4 2,3 4,6 3,5
3,2 : 1,0 1,2 2,3 3,5 4,1
3,5 : 0,2 2,6 3,2 4,6 4,5
4,1 : 3,2 4,5 6,3
4,5 : 2,3 3,5 4,1 4,6 5,6 6,3
4,6 : 2,6 3,5 4,5 5,6
5,6 : 4,5 4,6
6,3 : 2,3 4,1 4,5
