GRILLE 7 7 0 0
BIOMES
0 0 CLAIRIERE
0 1 CLAIRIERE
0 2 CLAIRIERE
0 3 FORET
0 4 LAC
0 5 LAC
0 6 LAC
1 0 CLAIRIERE
1 1 CLAIRIERE
1 2 CLAIRIERE
1 3 FORET
1 4 LAC
1 5 LAC
1 6 LAC
2 0 FORET
2 1 FORET
2 2 FORET
2 3 FORET
2 4 LAC
2 5 LAC
2 6 LAC
3 0 MONTAGNE
3 1 MONTAGNE
3 2 MONTAGNE
3 3 FORET
3 4 FORET
3 5 FORET
3 6 FORET
4 0 MONTAGNE
4 1 MONTAGNE
4 2 MONTAGNE
4 3 FORET
4 4 LANDE
4 5 LANDE
4 6 LANDE
5 0 MONTAGNE
5 1 MONTAGNE
5 2 MONTAGNE
5 3 FORET
5 4 LANDE
5 5 LANDE
5 6 LANDE
6 0 MONTAGNE
6 1 MONTAGNE
6 2 MONTAGNE
6 3 FORET
6 4 LANDE
6 5 LANDE
6 6 LANDE
BALISES
0 1 9 CLAIRIERE DEPART Rouge
0 3 4 FORET NORMALE
0 6 7 LAC DEPART Rouge
1 4 1 LAC NORMALE
2 2 1 FORET NORMALE
2 5 8 LAC DEPART Rouge
3 0 1 MONTAGNE NORMALE
3 3 5 FORET NORMALE
4 1 4 MONTAGNE NORMALE
4 4 10 LANDE DEPART Rouge
5 4 5 LANDE NORMALE
6 0 9 MONTAGNE DEPART Rouge
6 2 3 MONTAGNE NORMALE
6 6 1 LANDE NORMALE
LIAISONS
0,1 : 0,3 4,1
0,3 : 0,1 0,6 1,4 3,3 3,0
0,6 : 0,3 6,6 3,3
1,4 : 0,3 2,5 4,4 4,1
2,2 : 2,5 3,3 6,2
2,5 : 1,4 2,2
3,0 : 0,3 3,3 4,1 6,0
3,3 : 0,3 0,6 2,2 3,0 4,4 6,0
4,1 : 0,1 1,4 3,0 4,4
4,4 : 1,4 3,3 4,1 6,6 5,4 6,2
5,4 : 4,4
6,0 : 3,0 3,3 6,2
6,2 : 2,2 4,4 6,0 6,6
6,6 : 0,6 4,4 6,2
